House,Address,Room,Floor,Age,Price
1,Urlabari,2,2,5,20468
2,Sauraha,6,3,6,21042
3,Birtamod,3,2,5,16414
4,Biratnagar,6,3,16,10555
5,Dhankuta,4,3,6,16338
6,Janakpur,6,1,5,8719
7,Gaur,6,1,8,12109
8,Dharan,3,1,13,13394
9,Inaruwa,4,3,10,5579
10,Gulariya,5,3,18,27070
11,Dhankuta,5,1,13,14742
12,Lalbandi,4,2,3,28335
13,Lalbandi,6,3,6,7213
14,Sauraha,3,2,17,11610
15,Bhimeshwar,4,2,3,16170
16,Lahan,5,2,20,8965
17,Biratnagar,5,1,2,12452
18,Bharatpur,3,1,17,5239
19,Lalbandi,6,1,15,22269
20,Dhangadhi,2,1,17,8370
21,Mechinagar,4,2,6,26854
22,Koshi,4,1,8,20768
23,Koshi,3,3,8,18654
24,Dhankuta,3,2,13,18273
25,Gauradaha,2,3,9,13480
26,Tikapur,5,2,11,21589
27,Itahari,3,3,5,24236
28,Itahari,3,2,7,26222
29,Kalaiya,6,3,11,10937
30,Nepalganj,4,1,5,22800
31,Birtamod,3,3,2,12902
32,Lalbandi,2,1,13,16893
33,Mechinagar,2,3,8,10253
34,Biratchowk,3,1,8,6944
35,Gauradaha,3,1,9,15149
36,Urlabari,6,3,13,19670
37,Tikapur,5,1,8,15996
38,Rajbiraj,2,2,16,29043
39,Itahari,4,3,7,26908
40,Itahari,5,2,14,28657
41,Pokhara,2,1,15,16172
42,Dhangadhi,6,3,4,26905
43,Gaur,3,1,14,9389
44,Kamalamai,6,3,2,23956
45,Tikapur,4,1,4,22974
46,Mechinagar,6,3,19,19754
47,Nepalganj,6,3,17,21853
48,Hetauda,6,3,20,10153
49,Dhankuta,3,3,19,12274
50,Itahari,3,2,15,9569
51,Lalbandi,5,3,7,19561
52,Birtamod,4,2,20,25385
53,Lahan,2,2,13,10301
54,Dharan,2,1,20,6995
55,Lahan,5,2,12,13674
56,Damak,5,2,14,13794
57,Dhangadhi,3,3,5,8786
58,Mechinagar,6,1,14,15692
59,Birtamod,5,2,20,10956
60,Bhadrapur,4,2,14,25585
61,Dharan,4,3,19,27879
62,Gauradaha,3,2,14,19680
63,Dhulikhel,3,1,5,6004
64,Damak,2,1,16,6644
65,Sauraha,5,1,11,23582
66,Damak,4,2,10,18107
67,Kamalamai,6,3,20,27590
68,Dharan,2,1,16,12296
69,Bhimeshwar,4,2,7,28107
70,Narayangarh,2,2,12,8704
71,Mechinagar,2,3,5,20629
72,Siraha,6,1,5,12481
73,Damak,6,1,16,9711
74,Tikapur,3,1,18,27858
75,Bhadrapur,3,1,4,24653
76,Jaleswar,6,1,4,24854
77,Tikapur,3,1,13,8904
78,Kohalpur,6,3,8,7636
79,Jaleswar,3,3,20,26646
80,Kamalamai,6,2,3,19871
81,Dharan,4,2,3,15508
82,Hetauda,3,1,2,19491
83,Khadbari,6,2,14,21346
84,Dharan,4,3,14,22991
85,Itahari,3,1,11,18358
86,Kankai,2,1,4,22084
87,Inaruwa,2,1,10,8035
88,Tikapur,4,2,8,28564
89,Dharan,3,2,14,9873
90,Damak,4,2,4,11695
91,Pokhara,2,1,19,10558
92,Dharan,5,2,2,10992
93,Itahari,6,1,15,15883
94,Itahari,5,1,6,9638
95,Lahan,2,2,3,12948
96,Tikapur,6,2,17,28265
97,Itahari,5,3,11,12872
98,Bhadrapur,6,3,7,9335
99,Itahari,2,3,20,23255
100,Birtamod,4,3,6,24251
101,Gaur,3,3,6,28455
102,Sauraha,3,3,18,17614
103,Itahari,3,1,16,17740
104,Inaruwa,2,1,20,22416
105,Dharan,5,3,13,15072
106,Kathari,6,1,14,20746
107,Golbazar,3,1,11,20456
108,Siddharthanagar,5,1,2,14031
109,Khandbari,5,1,9,21804
110,Urlabari,6,2,6,5964
111,Nepalganj,6,2,12,14445
112,Birtamod,3,1,18,16204
113,Biratnagar,4,3,3,16504
114,Birgunj,4,2,17,10541
115,Lalbandi,6,2,12,26536
116,Birtamod,3,1,12,5763
117,Siddharthanagar,2,1,13,6779
118,Rajbiraj,4,2,7,29933
119,Birtamod,6,3,19,20192
120,Dhangadhi,3,2,11,21078
121,Tikapur,2,1,2,28838
122,Kathari,2,1,16,7546
123,Lahan,3,2,9,9270
124,Dharan,5,3,4,25703
125,Damak,3,3,19,5928
126,Ilam,4,1,18,15347
127,Itahari,3,1,19,16768
128,Tansen,3,2,18,6478
129,Dhulikhel,4,2,6,20702
130,Birtamod,5,1,13,5072
131,Beldandi,5,1,8,26012
132,Sauraha,3,1,19,12946
133,Kamalamai,6,2,20,8253
134,Dhulikhel,2,1,18,6417
135,Damak,3,2,19,27194
136,Lahan,3,3,20,20526
137,Koshi,5,2,5,27808
138,Bharatpur,5,3,7,25935
139,Dhulikhel,4,1,19,26468
140,Gulariya,4,3,19,20473
141,Pokhara,2,2,8,12133
142,Bhadrapur,2,3,16,26255
143,Mechinagar,2,1,19,17156
144,Gauradaha,6,3,16,7675
145,Mechinagar,4,2,10,26187
146,Bhimeshwar,3,2,12,26043
147,Itahari,4,1,15,6914
148,Dhulikhel,4,2,13,21362
149,Bharatpur,5,1,7,17675
150,Belbari,4,2,17,25131
151,Gauradaha,3,3,8,7448
152,Ilam,6,2,10,19664
153,Kankai,6,2,16,12661
154,Bhimeshwar,6,3,10,15013
155,Urlabari,5,3,7,22134
156,Dhankuta,4,2,20,27169
157,Itahari,2,3,14,7707
158,Biratnagar,4,2,17,5987
159,Lalbandi,6,1,8,26381
160,Jaleswar,5,1,17,22398
161,Itahari,6,1,2,25736
162,Gaur,2,2,3,27194
163,Phidim,5,3,2,28270
164,Birtamod,6,1,17,24586
165,Kohalpur,4,1,2,7623
166,Beldandi,2,1,2,26959
167,Siddharthanagar,3,1,18,29505
168,Dhulikhel,3,3,2,11487
169,Tikapur,3,3,17,18561
170,Gauradaha,4,1,19,11263
171,Dhankuta,4,3,15,12601
172,Damak,6,3,8,19114
173,Dhankuta,5,1,4,28925
174,Dharan,6,1,13,27508
175,Tikapur,4,2,15,27286
176,Sauraha,6,3,16,5511
177,Beldandi,6,3,11,19936
178,Siddharthanagar,2,2,8,19058
179,Inaruwa,6,1,2,7816
180,Dhankuta,2,1,2,6448
181,Dhulikhel,6,3,20,6562
182,Sauraha,6,3,18,17987
183,Jaleswar,2,3,8,14182
184,Lahan,3,2,17,8604
185,Gulariya,2,3,5,16656
186,Inaruwa,6,1,13,29391
187,Kamalamai,4,3,5,6389
188,Kalaiya,3,2,13,19509
189,Biratnagar,4,2,13,17768
190,Damak,3,3,12,7577
191,Sauraha,6,2,12,11583
192,Birgunj,5,3,8,25875
193,Pokhara,4,1,16,12587
194,Kalaiya,4,3,6,17004
195,Siddharthanagar,3,2,6,5075
196,Bhadrapur,4,1,3,10586
197,Birgunj,6,3,11,24630
198,Khadbari,3,1,7,28398
199,Rajbiraj,2,1,5,10390
200,Lahan,4,2,16,8450
201,Lahan,5,2,18,24183
202,Beldandi,4,2,14,12668
203,Damak,2,1,4,28132
204,Pokhara,3,2,14,17632
205,Lalbandi,4,3,5,19452
206,Kankai,5,2,10,17596
207,Ilam,6,1,15,7534
208,Lalbandi,5,3,10,27461
209,Attariya,2,1,15,26424
210,Bhadrapur,3,1,20,27808
211,Dharan,6,1,19,5380
212,Biratnagar,3,1,3,9998
213,Damak,6,2,6,14521
214,Damak,5,2,4,27834
215,Dharan,5,1,13,21536
216,Kohalpur,6,1,20,21231
217,Lahan,2,3,12,8165
218,Beldandi,6,1,17,25709
219,Khadbari,4,2,4,17321
220,Birgunj,2,2,9,19344
221,Bhojpur,3,1,18,17902
222,Dharan,4,2,10,26722
223,Biratnagar,5,2,7,15429
224,Dharan,5,3,17,11325
225,Dhulikhel,6,1,20,5658
226,Lalbandi,3,2,14,14016
227,Bhadrapur,3,2,19,19411
228,Lahan,2,2,11,19614
229,Dhangadhi,6,1,10,11269
230,Dhangadhi,4,3,2,13089
231,Mechinagar,5,3,13,28057
232,Lahan,6,3,19,23178
233,Hetauda,6,2,6,28697
234,Dharan,4,3,2,28434
235,Mechinagar,5,2,18,12101
236,Kankai,6,1,17,22430
237,Gulariya,5,2,2,12441
238,Kakarvitta,4,3,3,8811
239,Beldandi,3,2,4,13488
240,Kathari,6,3,12,14123
241,Dharan,2,3,20,15313
242,Kalaiya,4,1,8,15067
243,Itahari,2,2,14,19747
244,Gauradaha,3,1,11,5885
245,Mechinagar,6,3,12,22199
246,Gauradaha,3,3,12,17600
247,Dharan,6,2,18,26736
248,Damak,4,2,4,20567
249,Inaruwa,5,3,8,8566
250,Dharan,2,3,3,15782
251,Gauradaha,2,1,10,16202
252,Itahari,6,2,18,7354
253,Birtamod,6,3,4,13981
254,Beldandi,2,2,8,24180
255,Gaur,4,1,16,5432
256,Phidim,5,1,19,8444
257,Damak,6,1,6,27362
258,Itahari,6,1,17,14581
259,Siddharthanagar,6,2,6,10758
260,Siraha,3,1,2,26824
261,Lahan,4,3,19,9544
262,Damak,2,3,15,24383
263,Dharan,4,3,19,6157
264,Damak,6,3,9,26941
265,Golbazar,6,2,14,27801
266,Dhankuta,4,2,11,17899
267,Gauradaha,4,3,8,17527
268,Dhangadhi,6,3,9,10200
269,Mechinagar,5,1,13,12944
270,Gauradaha,6,2,3,29064
271,Gauradaha,4,2,17,18331
272,Attariya,6,2,15,9754
273,Itahari,2,3,11,11655
274,Chainpur,5,2,19,8029
275,Dharan,3,1,10,24933
276,Hetauda,4,3,7,6890
277,Dhulikhel,5,1,17,22203
278,Gauradaha,6,2,17,24418
279,Mechinagar,5,3,8,27741
280,Beldandi,3,3,4,9000
281,Lahan,5,3,16,29578
282,Bhadrapur,3,1,9,27683
283,Mechinagar,4,1,11,22771
284,Golbazar,2,2,6,19204
285,Attariya,6,1,17,19817
286,Damak,6,1,4,15608
287,Attariya,2,3,10,15061
288,Kalaiya,3,1,3,28463
289,Dharan,3,3,19,24535
290,Tikapur,5,2,14,28219
291,Beldandi,4,1,11,16151
292,Lahan,2,3,9,22014
293,Biratnagar,6,2,20,21270
294,Dharan,3,3,7,24794
295,Birgunj,2,1,4,16924
296,Itahari,6,2,3,11380
297,Kalaiya,3,2,15,18399
298,Bhadrapur,6,2,9,14261
299,Mechinagar,3,3,4,27170
300,Urlabari,6,2,5,17826
301,Dharan,6,2,15,11281
302,Janakpur,3,2,10,27896
303,Kakarvitta,6,2,15,6405
304,Itahari,3,2,13,17381
305,Jaleswar,3,2,15,26396
306,Lalbandi,5,3,2,24613
307,Biratnagar,3,3,7,9813
308,Kohalpur,4,1,2,15886
309,Rajbiraj,3,1,2,9679
310,Hetauda,4,2,15,9928
311,Dhangadhi,6,3,11,25105
312,Kankai,5,3,20,19808
313,Siraha,4,1,15,6286
314,Itahari,4,1,18,25252
315,Siraha,2,2,7,7077
316,Dhankuta,2,1,5,25146
317,Birgunj,4,1,12,27567
318,Rajbiraj,3,1,15,17519
319,Damak,5,3,7,27493
320,Malangwa,4,2,5,18030
321,Siddharthanagar,2,3,10,26888
